species,Lon,Lat
Huperzia_javanica,108.27,23.17
Huperzia_javanica,108.41,28.02
Huperzia_nanlingensis,108.4351543,23.4989787
Huperzia_javanica,108.51,25.94
Huperzia_javanica,108.59,23.44
Huperzia_crispata,108.697421,27.915079
Huperzia_emeiensis,108.769679,31.662397
Huperzia_javanica,108.81,23.22
Huperzia_javanica,108.82,27.68
Huperzia_javanica,108.9,24.79
Huperzia_javanica,109.03,19.25
Huperzia_javanica,109.18,28.17
Huperzia_javanica,109.2,22.7
Huperzia_javanica,109.24,25.07
Huperzia_javanica,109.42,29.64
Huperzia_javanica,109.44,19.23
Huperzia_emeiensis,109.444511,31.549299
Huperzia_sutchueniana,109.48,29.99
Huperzia_nanchuanensis,109.484961,29.990847
Huperzia_emeiensis,109.62,31.37
Huperzia_sutchueniana,109.62,31.37
Huperzia_javanica,109.64,28.71
Huperzia_javanica,109.66,23.6
Huperzia_sutchueniana,109.7,30.233333
Huperzia_javanica,109.716667,30.016667
Huperzia_crispata,109.816396,29.685865
Huperzia_crispata,109.84351,27.215077
Huperzia_javanica,109.96,27.11
Huperzia_javanica,109.98,22.27
Huperzia_javanica,110.02,25.78
Huperzia_emeiensis,110.032936,29.887732
Huperzia_javanica,110.0563631,29.75535685
Huperzia_sutchueniana,110.0609251,29.80060792
Huperzia_sutchueniana,110.0664279,29.73808
Huperzia_sutchueniana,110.0664279,29.7380811
Huperzia_javanica,110.0666792,29.738147
Huperzia_javanica,110.0668,29.73816
Huperzia_javanica,110.0744,29.7428
Huperzia_javanica,110.0797,29.777
Huperzia_javanica,110.0844,24.139
Huperzia_sutchueniana,110.1232488,29.78925
Huperzia_javanica,110.16,29.38
Huperzia_crispata,110.16,29.39
Huperzia_sutchueniana,110.16,29.39
Huperzia_nanlingensis,110.164258,29.401497
Huperzia_crispata,110.170413,29.405923
Huperzia_javanica,110.18,24.14
Huperzia_javanica,110.22,25.22
Huperzia_javanica,110.24,24.14
Huperzia_javanica,110.33,22.71
Huperzia_javanica,110.33,25.42
Huperzia_javanica,110.38,24.52
Huperzia_sutchueniana,110.475361,29.205462
Huperzia_emeiensis,110.483944,31.537554
Huperzia_javanica,110.5,29.3
Huperzia_nanchuanensis,110.563646,30.082272
Huperzia_sutchueniana,110.575848,27.06032
Huperzia_javanica,110.61,26.73
Huperzia_javanica,110.66,24.64
Huperzia_javanica,110.66,25.61
Huperzia_javanica,110.66,26.03
Huperzia_kunmingensis,110.772971,26.179437
Huperzia_javanica,110.84,26.44
Huperzia_kunmingensis,110.869041,26.155725
Huperzia_kunmingensis,110.8768528,26.13030833
Huperzia_javanica,110.9,23.36
Huperzia_javanica,110.96,22.36
Huperzia_javanica,111,22.95
Huperzia_javanica,111.06,25.96
Huperzia_javanica,111.09,29.41
Huperzia_javanica,111.191944,22.282222
Huperzia_javanica,111.195556,22.274444
Huperzia_javanica,111.217222,22.290278
Huperzia_javanica,111.22,23.51
Huperzia_javanica,111.3,24.53
Huperzia_sutchueniana,111.35,25.98333333
Huperzia_javanica,111.473448,22.212826
Huperzia_javanica,111.48,23.45
Huperzia_javanica,111.54,24.44
Huperzia_javanica,111.56,22.77
Huperzia_javanica,111.57,25.52
Huperzia_javanica,111.73,27.25
Huperzia_javanica,111.79,22.18
Huperzia_javanica,111.79,24.97
Huperzia_javanica,111.95,25.61
Huperzia_javanica,111.9964,25.18675
Huperzia_javanica,112.02,22.93
Huperzia_javanica,112.03477,25.25024
Huperzia_javanica,112.07,24.59
Huperzia_javanica,112.18,23.93
Huperzia_javanica,112.28,24.73
Huperzia_javanica,112.386111,26.410278
Huperzia_javanica,112.44,23.05
Huperzia_javanica,112.65,24.48
Huperzia_javanica,112.86,27.25
Huperzia_javanica,112.914938,24.69867
Huperzia_nanlingensis,112.9920444,24.43276667
Huperzia_javanica,113,28.21
Huperzia_javanica,113.01,23.7
Huperzia_javanica,113.082651,24.913331
Huperzia_emeiensis,113.166529,30.663372
Huperzia_javanica,113.28,24.77
Huperzia_javanica,113.35,25.14
Huperzia_javanica,113.38,24.17
Huperzia_javanica,113.577319,23.340975
Huperzia_javanica,113.81,23.13
